| P35900
14 0.5592
15 0.0611
16 0.0058
17 0.0
18 0.0
19 0.0
20 0.0022
21 0.0029
22 0.0015
23 0.0212
| O15173
1 0.0045
2 0.1251
3 0.0956
4 0.0447
5 0.0129
6 0.2841
7 0.1604
8 0.1
9 0.0121
10 0.0096
11 0.0156
12 0.0094
13 0.0073
14 0.0104
15 0.007
16 0.0086
17 0.0
18 0.0
19 0.0
20 0.0252
21 0.0366
22 0.0043
23 0.0266
| O15347
1 0.0
2 0.0
3 0.0
4 0.7419
5 0.2581
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15372
1 0.0045
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0019
7 0.0023
8 0.0027
9 0.001
10 0.0014
11 0.0011
12 0.0152
13 0.7786
14 0.1472
15 0.041
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0029
| O15400
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.4166
11 0.4446
12 0.1388
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15498
1 0.0
2 0.0056
3 0.0041
4 0.9471
5 0.0051
6 0.0032
7 0.0023
8 0.0275
9 0.0
10 0.0052
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15533
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0625
16 0.7764
17 0.0
18 0.161
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43148
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.4522
21 0.3622
22 0.1857
23 0.0
| O43175
1 0.0
2 0.0
3 0.0052
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0093
16 0.0
17 0.0
18 0.0
19 0.0
20 0.1973
21 0.5159
22 0.1902
23 0.082
| O43324
1 0.4946
2 0.0472
3 0.105
4 0.1208
5 0.0241
6 0.0244
7 0.0139
8 0.0035
9 0.0034
10 0.0171
