| P05787
12 0.0173
13 0.0267
14 0.0201
15 0.0158
16 0.0159
17 0.028
18 0.0231
19 0.0205
20 0.0166
21 0.0189
22 0.0212
23 0.0123
| Q8TAA3
1 0.0143
2 0.0215
3 0.0549
4 0.0264
5 0.0105
6 0.0105
7 0.0231
8 0.551
9 0.0092
10 0.0203
11 0.0218
12 0.0173
13 0.0267
14 0.0201
15 0.0158
16 0.0159
17 0.028
18 0.0231
19 0.0205
20 0.0166
21 0.0189
22 0.0212
23 0.0123
| O14880
1 0.0
2 0.0
3 1.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14908
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.9218
14 0.0782
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14929
1 0.0
2 0.0
3 0.0407
4 0.0
5 0.0184
6 0.0
7 0.0
8 0.0302
9 0.0227
10 0.0296
11 0.0
12 0.0066
13 0.0239
14 0.0262
15 0.0
16 0.7341
17 0.0262
18 0.0
19 0.012
20 0.0
21 0.0
22 0.0295
23 0.0
| P19105
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14950
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P24844
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15143
1 0.0
2 0.0
3 0.0145
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.813
13 0.0
14 0.0305
15 0.0118
16 0.0067
17 0.0103
18 0.0
19 0.0137
20 0.0179
21 0.0343
22 0.0179
23 0.0295
| O15144
1 0.0139
2 0.0233
3 0.0543
4 0.0116
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.7151
11 0.0106
12 0.0192
13 0.0107
14 0.01
15 0.0105
16 0.0098
17 0.009
18 0.014
19 0.0185
20 0.0
21 0.0343
22 0.0211
23 0.0141
| O15145
1 0.0
2 0.0
3 0.0
4 0.0
5 1.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15160
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0184
11 0.017
12 0.0
13 0.0
14 0.8612
15 0.0
16 0.0291
17 0.0
18 0.0
19 0.0178
20 0.0333
21 0.0
22 0.0231
23 0.0
| O15173
1 0.0
2 0.0
3 0.0206
4 0.0
5 0.0
6 0.0
7 0.0
8 0.5877
9 0.0208
10 0.0302
11 0.0055
12 0.032
13 0.0
14 0.0402
15 0.0
16 0.038
17 0.0
18 0.0432
19 0.0475
20 0.0413
21 0.0363
22 0.0351
23 0.0218
| O15269
1 0.0
2 0.0
3 0.0303
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0565
11 0.0326
12 0.0335
13 0.0
14 0.0272
15 0.0
16 0.0211
17 0.0
18 0.6445
19 0.1122
20 0.0196
21 0.0
22 0.0227
23 0.0
| O15347
1 0.0189
2 0.0238
3 0.0278
4 0.0
5 0.0121
6 0.0
7 0.0
8 0.7281
9 0.0
10 0.0
11 0.0
12 0.0189
13 0.0134
14 0.0
15 0.0
16 0.0
17 0.0131
18 0.0285
19 0.0528
20 0.0
21 0.0126
22 0.0342
23 0.0159
| O15372
1 0.0086
2 0.0629
3 0.0171
4 0.0103
5 0.0
6 0.0104
7 0.0
8 0.0
9 0.0107
10 0.0341
11 0.0253
12 0.0585
13 0.5175
14 0.0436
15 0.0
16 0.013
17 0.035
18 0.0266
19 0.0363
20 0.0201
21 0.0245
22 0.0204
23 0.0252
| O15460
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.3061
21 0.4928
22 0.2011
23 0.0
| O15498
1 0.0
2 0.0599
3 0.0
4 0.0
5 0.0
6 0.0
7 0.9061
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0341
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43148
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.3189
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.4207
20 0.1989
21 0.0615
22 0.0
23 0.0
| O43172
1 0.01
2 0.0144
3 0.0137
4 0.018
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0286
11 0.0
12 0.0141
13 0.0171
14 0.0709
15 0.0
16 0.0551
17 0.0229
18 0.0214
19 0.0178
20 0.4724
21 0.1862
22 0.0235
23 0.0139
| O43242
1 0.0
2 0.037
3 0.0467
4 0.0629
5 0.0
6 0.0
7 0.046
8 0.0165
9 0.0
10 0.0
11 0.0156
12 0.036
13 0.0412
14 0.0657
15 0.0492
16 0.0411
17 0.0328
18 0.0801
19 0.0521
20 0.0974
21 0.0998
22 0.0681
23 0.1118
| O43251
1 0.0
2 0.1837
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.091
10 0.0
11 0.0529
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.6724
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| Q9NWB1
1 0.0
2 0.1837
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.091
10 0.0
11 0.0529
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.6724
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| A6NFN3
1 0.0
2 0.1837
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.091
10 0.0
11 0.0529
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.6724
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43324
1 0.0178
2 0.0285
3 0.0692
4 0.0661
5 0.7204
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0229
11 0.0463
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0288
21 0.0
22 0.0
23 0.0
| O43396
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.6469
12 0.1289
13 0.0
14 0.0
15 0.2242
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43399
1 0.0224
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.5072
9 0.3117
10 0.0185
11 0.0
12 0.0
13 0.0187
14 0.0177
15 0.0135
16 0.0
17 0.0202
18 0.0
19 0.0
20 0.0
21 0.0262
22 0.0438
23 0.0
| O43402
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 1.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43488
1 0.0217
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0183
11 0.1461
12 0.6796
13 0.026
14 0.0
15 0.0
16 0.0234
17 0.021
18 0.0
19 0.0
20 0.0231
21 0.0269
22 0.0
23 0.0138
| Q8NHP1
1 0.0217
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0183
11 0.1461
12 0.6796
13 0.026
14 0.0
15 0.0
